Iteration = 1000 | Total steps: 17-20-26 | Min: 0.15 | Avg: 0.78 | Max: 1.84
Iteration = 2000 | Total steps: 16-22-30 | Min: 0.10 | Avg: 0.76 | Max: 2.15
Iteration = 3000 | Total steps: 18-22-29 | Min: 0.17 | Avg: 0.69 | Max: 2.22
Iteration = 4000 | Total steps: 20-25-32 | Min: 0.29 | Avg: 1.32 | Max: 2.45 [CHECK POINT]
Iteration = 5000 | Total steps: 16-24-32 | Min: 0.10 | Avg: 1.21 | Max: 2.26
Iteration = 6000 | Total steps: 18-21-27 | Min: 0.19 | Avg: 0.68 | Max: 1.70
Iteration = 7000 | Total steps: 16-17-25 | Min: 0.10 | Avg: 0.31 | Max: 1.66
Iteration = 8000 | Total steps: 16-19-30 | Min: 0.10 | Avg: 0.48 | Max: 2.20
Iteration = 9000 | Total steps: 19-24-33 | Min: 0.17 | Avg: 1.30 | Max: 2.53
Iteration = 10000 | Total steps: 16-23-37 | Min: 0.10 | Avg: 2.00 | Max: 14.86 [CHECK POINT]
Iteration = 11000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 12000 | Total steps: 16-20-32 | Min: 0.10 | Avg: 0.62 | Max: 2.16
Iteration = 13000 | Total steps: 16-23-35 | Min: 0.10 | Avg: 1.02 | Max: 2.32
Iteration = 14000 | Total steps: 16-25-35 | Min: 0.26 | Avg: 1.37 | Max: 3.42
Iteration = 15000 | Total steps: 19-22-30 | Min: 0.19 | Avg: 0.79 | Max: 2.34
Iteration = 16000 | Total steps: 18-21-30 | Min: 0.20 | Avg: 1.06 | Max: 2.70
Iteration = 17000 | Total steps: 14-25-37 | Min: 0.47 | Avg: 2.52 | Max: 15.31 [CHECK POINT]
Iteration = 18000 | Total steps: 20-24-36 | Min: 0.16 | Avg: 1.07 | Max: 2.48
Iteration = 19000 | Total steps: 15-30-37 | Min: 0.87 | Avg: 2.76 | Max: 12.65 [CHECK POINT]
Iteration = 20000 | Total steps: 11-24-39 | Min: 0.89 | Avg: 1.99 | Max: 5.83
Iteration = 21000 | Total steps: 21-28-45 | Min: 0.90 | Avg: 1.93 | Max: 4.77
Iteration = 22000 | Total steps: 20-25-30 | Min: 0.16 | Avg: 0.95 | Max: 2.21
Iteration = 23000 | Total steps: 22-27-35 | Min: 0.51 | Avg: 1.77 | Max: 3.02
Iteration = 24000 | Total steps: 21-31-46 | Min: 0.69 | Avg: 1.95 | Max: 4.09
Iteration = 25000 | Total steps: 20-32-43 | Min: 1.06 | Avg: 2.51 | Max: 4.40
Iteration = 26000 | Total steps: 17-32-44 | Min: 1.31 | Avg: 2.36 | Max: 4.12
Iteration = 27000 | Total steps: 15-30-44 | Min: 0.10 | Avg: 2.64 | Max: 10.05
Iteration = 28000 | Total steps: 16-21-30 | Min: 0.10 | Avg: 1.04 | Max: 3.73
Iteration = 29000 | Total steps: 18-26-39 | Min: 0.16 | Avg: 1.80 | Max: 4.61
Iteration = 30000 | Total steps: 12-26-47 | Min: 0.47 | Avg: 1.68 | Max: 3.26
Iteration = 31000 | Total steps: 21-31-47 | Min: 0.94 | Avg: 2.54 | Max: 6.03
Iteration = 32000 | Total steps: 13-34-51 | Min: 0.10 | Avg: 2.39 | Max: 5.64
Iteration = 33000 | Total steps: 19-27-47 | Min: 0.41 | Avg: 2.26 | Max: 5.27
Iteration = 34000 | Total steps: 18-31-48 | Min: 0.20 | Avg: 1.73 | Max: 4.27
Iteration = 35000 | Total steps: 18-33-53 | Min: 0.39 | Avg: 3.13 | Max: 7.32 [CHECK POINT]
Iteration = 36000 | Total steps: 19-33-68 | Min: 0.86 | Avg: 2.75 | Max: 5.44
Iteration = 37000 | Total steps: 22-32-47 | Min: 0.88 | Avg: 2.48 | Max: 4.80
Iteration = 38000 | Total steps: 28-41-55 | Min: 1.53 | Avg: 3.35 | Max: 4.98 [CHECK POINT]
Iteration = 39000 | Total steps: 20-35-46 | Min: 0.23 | Avg: 2.25 | Max: 3.39
Iteration = 40000 | Total steps: 26-30-34 | Min: 1.27 | Avg: 2.24 | Max: 3.22
Iteration = 41000 | Total steps: 19-31-47 | Min: 0.15 | Avg: 2.31 | Max: 6.80
Iteration = 42000 | Total steps: 18-26-35 | Min: 0.48 | Avg: 3.25 | Max: 15.23
Iteration = 43000 | Total steps: 16-28-44 | Min: 0.10 | Avg: 1.66 | Max: 3.95
Iteration = 44000 | Total steps: 19-26-45 | Min: 0.17 | Avg: 2.68 | Max: 13.95
Iteration = 45000 | Total steps: 12-38-60 | Min: 1.80 | Avg: 5.07 | Max: 18.43 [CHECK POINT]
Iteration = 46000 | Total steps: 20-31-38 | Min: 0.18 | Avg: 1.81 | Max: 3.36
Iteration = 47000 | Total steps: 20-31-44 | Min: 1.40 | Avg: 2.52 | Max: 3.51
Iteration = 48000 | Total steps: 22-38-60 | Min: 1.39 | Avg: 3.81 | Max: 6.74
Iteration = 49000 | Total steps: 23-48-60 | Min: 0.78 | Avg: 4.11 | Max: 5.81
Iteration = 50000 | Total steps: 25-44-80 | Min: 1.38 | Avg: 4.72 | Max: 11.08
Iteration = 51000 | Total steps: 21-38-60 | Min: 0.33 | Avg: 4.62 | Max: 17.75
Iteration = 52000 | Total steps: 18-27-41 | Min: 0.20 | Avg: 3.35 | Max: 15.49
Iteration = 53000 | Total steps: 11-22-33 | Min: 0.64 | Avg: 2.52 | Max: 4.41
Iteration = 54000 | Total steps: 23-47-61 | Min: 1.74 | Avg: 4.83 | Max: 7.16
Iteration = 55000 | Total steps: 16-34-50 | Min: 0.10 | Avg: 3.00 | Max: 5.35
Iteration = 56000 | Total steps: 26-37-49 | Min: 0.89 | Avg: 3.21 | Max: 4.58
Iteration = 57000 | Total steps: 31-43-58 | Min: 1.82 | Avg: 3.34 | Max: 5.78
Iteration = 58000 | Total steps: 20-42-58 | Min: 2.21 | Avg: 5.17 | Max: 17.48 [CHECK POINT]
Iteration = 59000 | Total steps: 26-33-46 | Min: 0.76 | Avg: 2.73 | Max: 5.16
Iteration = 60000 | Total steps: 16-38-76 | Min: 0.10 | Avg: 4.78 | Max: 23.12
Iteration = 61000 | Total steps: 24-41-59 | Min: 0.31 | Avg: 3.88 | Max: 6.50
Iteration = 62000 | Total steps: 22-35-50 | Min: 0.76 | Avg: 3.15 | Max: 5.42
Iteration = 63000 | Total steps: 20-33-65 | Min: 0.23 | Avg: 3.20 | Max: 9.99
Iteration = 64000 | Total steps: 16-28-57 | Min: 0.10 | Avg: 1.72 | Max: 6.53
Iteration = 65000 | Total steps: 16-41-67 | Min: 0.10 | Avg: 3.96 | Max: 8.42
Iteration = 66000 | Total steps: 26-35-50 | Min: 1.05 | Avg: 2.98 | Max: 4.85
Iteration = 67000 | Total steps: 19-35-60 | Min: 0.22 | Avg: 4.73 | Max: 17.28
Iteration = 68000 | Total steps: 16-35-62 | Min: 0.10 | Avg: 5.60 | Max: 22.00 [CHECK POINT]
Iteration = 69000 | Total steps: 36-47-57 | Min: 3.10 | Avg: 7.19 | Max: 15.19 [CHECK POINT]
Iteration = 70000 | Total steps: 23-48-83 | Min: 1.40 | Avg: 5.99 | Max: 14.54
Iteration = 71000 | Total steps: 16-46-65 | Min: 0.10 | Avg: 4.94 | Max: 17.08
Iteration = 72000 | Total steps: 25-45-70 | Min: 0.43 | Avg: 3.79 | Max: 8.08
Iteration = 73000 | Total steps: 29-42-56 | Min: 1.64 | Avg: 5.52 | Max: 14.58
Iteration = 74000 | Total steps: 35-53-96 | Min: 3.05 | Avg: 7.12 | Max: 24.19
Iteration = 75000 | Total steps: 29-42-73 | Min: 2.55 | Avg: 4.42 | Max: 8.26
Iteration = 76000 | Total steps: 35-50-81 | Min: 1.71 | Avg: 5.34 | Max: 17.97
Iteration = 77000 | Total steps: 16-20-32 | Min: 0.10 | Avg: 0.54 | Max: 1.33
Iteration = 78000 | Total steps: 32-49-81 | Min: 3.27 | Avg: 6.72 | Max: 22.60
Iteration = 79000 | Total steps: 16-26-52 | Min: 0.10 | Avg: 2.71 | Max: 17.24
Iteration = 80000 | Total steps: 21-42-66 | Min: 1.40 | Avg: 9.68 | Max: 33.47 [CHECK POINT]
Iteration = 81000 | Total steps: 19-32-64 | Min: 0.23 | Avg: 2.47 | Max: 9.13
Iteration = 82000 | Total steps: 16-31-47 | Min: 0.10 | Avg: 3.25 | Max: 7.97
Iteration = 83000 | Total steps: 16-36-53 | Min: 0.10 | Avg: 3.27 | Max: 6.14
Iteration = 84000 | Total steps: 16-29-52 | Min: 0.10 | Avg: 1.30 | Max: 3.30
Iteration = 85000 | Total steps: 38-48-65 | Min: 2.75 | Avg: 6.24 | Max: 17.16
Iteration = 86000 | Total steps: 16-42-58 | Min: 0.10 | Avg: 3.40 | Max: 6.43
Iteration = 87000 | Total steps: 21-35-58 | Min: 0.22 | Avg: 4.96 | Max: 20.85
Iteration = 88000 | Total steps: 25-40-60 | Min: 0.97 | Avg: 3.27 | Max: 5.48
Iteration = 89000 | Total steps: 21-40-61 | Min: 0.39 | Avg: 5.22 | Max: 15.53
Iteration = 90000 | Total steps: 32-54-69 | Min: 2.40 | Avg: 6.41 | Max: 10.22
Iteration = 91000 | Total steps: 16-20-37 | Min: 0.10 | Avg: 0.62 | Max: 3.14
Iteration = 92000 | Total steps: 21-40-64 | Min: 0.52 | Avg: 3.56 | Max: 7.73
Iteration = 93000 | Total steps: 16-45-78 | Min: 0.10 | Avg: 8.26 | Max: 23.60
Iteration = 94000 | Total steps: 45-63-80 | Min: 4.35 | Avg: 7.16 | Max: 10.77
Iteration = 95000 | Total steps: 20-42-78 | Min: 0.21 | Avg: 3.67 | Max: 7.39
Iteration = 96000 | Total steps: 22-50-79 | Min: 0.25 | Avg: 5.62 | Max: 19.03
Iteration = 97000 | Total steps: 16-26-53 | Min: 0.10 | Avg: 2.14 | Max: 5.19
Iteration = 98000 | Total steps: 16-39-65 | Min: 0.10 | Avg: 4.85 | Max: 19.78
Iteration = 99000 | Total steps: 16-37-61 | Min: 0.10 | Avg: 3.53 | Max: 8.23
Iteration = 100000 | Total steps: 16-29-59 | Min: 0.10 | Avg: 1.68 | Max: 4.30
Iteration = 101000 | Total steps: 19-42-58 | Min: 0.37 | Avg: 7.07 | Max: 18.32
Iteration = 102000 | Total steps: 16-31-59 | Min: 0.10 | Avg: 1.78 | Max: 6.67
Iteration = 103000 | Total steps: 16-35-71 | Min: 0.10 | Avg: 2.51 | Max: 6.02
Iteration = 104000 | Total steps: 30-50-83 | Min: 2.10 | Avg: 5.38 | Max: 9.99
Iteration = 105000 | Total steps: 16-26-44 | Min: 0.10 | Avg: 3.84 | Max: 17.45
Iteration = 106000 | Total steps: 19-50-95 | Min: 0.62 | Avg: 4.91 | Max: 12.31
Iteration = 107000 | Total steps: 16-24-34 | Min: 0.10 | Avg: 0.62 | Max: 1.62
Iteration = 108000 | Total steps: 23-42-64 | Min: 1.40 | Avg: 4.40 | Max: 12.91
Iteration = 109000 | Total steps: 25-47-67 | Min: 1.34 | Avg: 6.66 | Max: 18.51
Iteration = 110000 | Total steps: 16-29-51 | Min: 0.10 | Avg: 1.83 | Max: 3.70
Iteration = 111000 | Total steps: 16-32-73 | Min: 0.10 | Avg: 3.59 | Max: 14.72
Iteration = 112000 | Total steps: 25-32-44 | Min: 0.91 | Avg: 4.85 | Max: 17.19
Iteration = 113000 | Total steps: 16-39-72 | Min: 0.10 | Avg: 6.24 | Max: 34.53
Iteration = 114000 | Total steps: 16-34-60 | Min: 0.10 | Avg: 3.51 | Max: 6.69
Iteration = 115000 | Total steps: 16-39-58 | Min: 0.10 | Avg: 3.34 | Max: 5.91
Iteration = 116000 | Total steps: 16-33-70 | Min: 0.10 | Avg: 2.49 | Max: 6.79
Iteration = 117000 | Total steps: 16-49-90 | Min: 0.10 | Avg: 5.61 | Max: 20.42
Iteration = 118000 | Total steps: 24-41-69 | Min: 1.96 | Avg: 5.00 | Max: 9.33
Iteration = 119000 | Total steps: 16-23-38 | Min: 0.10 | Avg: 1.05 | Max: 3.24
Iteration = 120000 | Total steps: 37-56-73 | Min: 3.79 | Avg: 6.19 | Max: 9.03
Iteration = 121000 | Total steps: 25-45-68 | Min: 1.01 | Avg: 4.52 | Max: 7.96
Iteration = 122000 | Total steps: 23-42-63 | Min: 0.54 | Avg: 3.47 | Max: 6.20
Iteration = 123000 | Total steps: 19-36-63 | Min: 0.37 | Avg: 3.13 | Max: 7.36
Iteration = 124000 | Total steps: 17-52-92 | Min: 1.10 | Avg: 6.08 | Max: 14.91
Iteration = 125000 | Total steps: 16-35-72 | Min: 0.10 | Avg: 4.14 | Max: 21.02
Iteration = 126000 | Total steps: 18-53-85 | Min: 0.86 | Avg: 7.11 | Max: 28.99
