Iteration = 1000 | Total steps: 8-23-35 | Min: 0.10 | Avg: 1.07 | Max: 2.72 [CHECK POINT]
Iteration = 2000 | Total steps: 9-20-27 | Min: 0.14 | Avg: 0.69 | Max: 1.56
Iteration = 3000 | Total steps: 17-22-27 | Min: 0.18 | Avg: 1.00 | Max: 2.61
Iteration = 4000 | Total steps: 17-23-36 | Min: 0.18 | Avg: 0.87 | Max: 2.26
Iteration = 5000 | Total steps: 3-19-28 | Min: 0.09 | Avg: 0.79 | Max: 1.41
Iteration = 6000 | Total steps: 19-26-44 | Min: 0.53 | Avg: 1.27 | Max: 2.53 [CHECK POINT]
Iteration = 7000 | Total steps: 16-21-35 | Min: 0.10 | Avg: 0.66 | Max: 1.46
Iteration = 8000 | Total steps: 16-21-27 | Min: 0.10 | Avg: 0.78 | Max: 2.05
Iteration = 9000 | Total steps: 17-21-30 | Min: 0.15 | Avg: 0.57 | Max: 0.92
Iteration = 10000 | Total steps: 8-22-32 | Min: 0.21 | Avg: 0.81 | Max: 1.60
Iteration = 11000 | Total steps: 17-29-48 | Min: 0.15 | Avg: 1.34 | Max: 2.85 [CHECK POINT]
Iteration = 12000 | Total steps: 16-20-30 | Min: 0.10 | Avg: 0.54 | Max: 1.63
Iteration = 13000 | Total steps: 6-25-56 | Min: 0.11 | Avg: 1.48 | Max: 4.66 [CHECK POINT]
Iteration = 14000 | Total steps: 18-23-37 | Min: 0.28 | Avg: 2.22 | Max: 11.16 [CHECK POINT]
Iteration = 15000 | Total steps: 16-23-51 | Min: 0.10 | Avg: 0.98 | Max: 3.29
Iteration = 16000 | Total steps: 17-23-38 | Min: 0.15 | Avg: 0.90 | Max: 1.82
Iteration = 17000 | Total steps: 4-21-40 | Min: 0.23 | Avg: 1.06 | Max: 3.12
Iteration = 18000 | Total steps: 20-25-31 | Min: 0.42 | Avg: 1.29 | Max: 3.08
Iteration = 19000 | Total steps: 18-22-29 | Min: 0.61 | Avg: 1.09 | Max: 1.87
Iteration = 20000 | Total steps: 4-22-45 | Min: 0.26 | Avg: 0.84 | Max: 2.90
Iteration = 21000 | Total steps: 17-22-32 | Min: 0.14 | Avg: 0.99 | Max: 1.65
Iteration = 22000 | Total steps: 11-22-40 | Min: 0.18 | Avg: 1.22 | Max: 2.95
Iteration = 23000 | Total steps: 18-23-38 | Min: 0.36 | Avg: 0.94 | Max: 2.33
Iteration = 24000 | Total steps: 12-23-33 | Min: 0.14 | Avg: 0.76 | Max: 1.92
Iteration = 25000 | Total steps: 16-20-27 | Min: 0.10 | Avg: 1.87 | Max: 14.50
Iteration = 26000 | Total steps: 18-30-50 | Min: 0.44 | Avg: 1.63 | Max: 3.35
Iteration = 27000 | Total steps: 3-23-47 | Min: 0.09 | Avg: 2.24 | Max: 14.18 [CHECK POINT]
Iteration = 28000 | Total steps: 5-22-36 | Min: 0.26 | Avg: 0.95 | Max: 1.93
Iteration = 29000 | Total steps: 18-23-32 | Min: 0.24 | Avg: 1.38 | Max: 3.07
