min,avg,max
8,23,35
9,20,27
17,22,27
17,23,36
3,19,28
19,26,44
16,21,35
16,21,27
17,21,30
8,22,32
17,29,48
16,20,30
6,25,56
18,23,37
16,23,51
17,23,38
4,21,40
20,25,31
18,22,29
4,22,45
17,22,32
11,22,40
18,23,38
12,23,33
16,20,27
18,30,50
3,23,47
5,22,36
18,23,32
6,24,40
23,33,45
16,25,47
5,25,42
18,25,39
9,24,41
17,32,50
19,22,29
7,23,39
12,28,45
18,25,39
17,22,30
18,28,37
18,24,42
16,25,35
18,28,58
7,30,49
19,24,31
20,29,49
4,26,46
18,34,49
17,25,36
18,30,53
18,30,59
18,31,54
18,24,31
20,32,50
13,29,55
17,22,33
18,28,45
15,30,39
22,30,39
21,26,39
21,37,68
21,34,63
18,33,61
15,36,64
15,28,47
13,35,53
18,31,44
19,35,65
10,36,79
22,34,51
16,22,38
22,31,43
18,37,67
21,26,32
19,36,56
10,23,42
17,26,41
12,36,60
16,32,55
16,23,35
16,26,34
16,35,55
26,46,79
10,29,48
16,29,45
16,29,41
20,33,53
18,28,45
19,36,65
18,42,68
19,27,39
16,23,31
10,28,56
24,34,51
13,40,64
22,41,64
18,31,57
16,37,64
25,35,54
24,39,58
20,32,44
16,29,47
16,28,47
16,35,54
24,33,49
22,33,44
26,42,66
10,25,52
20,31,57
21,38,61
16,32,56
16,35,73
12,30,47
20,39,62
17,31,56
16,30,49
11,34,55
21,43,77
18,41,63
18,33,54
16,27,57
20,42,64
16,30,57
22,39,63
8,25,40
16,25,36
20,40,52
16,37,65
16,46,63
16,22,32
16,35,52
16,40,57
16,24,62
14,27,40
16,31,51
16,39,72
17,28,54
25,41,65
21,34,58
16,34,62
16,37,83
22,46,69
16,21,42
17,39,62
16,27,39
20,34,52
17,45,68
16,36,59
16,42,62
19,33,51
19,45,76
26,41,65
16,29,47
17,35,64
18,41,64
16,29,44
17,23,30
32,46,65
18,39,65
16,27,44
19,41,57
23,33,41
23,36,58
16,29,52
20,38,55
24,36,61
23,40,68
18,33,56
16,25,40
19,26,38
16,25,42
16,36,62
16,40,62
35,45,59
16,18,25
20,36,60
16,34,56
26,37,50
16,34,58
13,34,58
16,29,49
21,36,47
19,32,62
16,36,59
30,44,65
16,24,46
16,31,44
14,30,51
17,35,51
18,40,66
15,38,72
23,38,60
21,47,66
16,29,49
18,39,86
16,23,36
17,26,38
16,29,52
16,29,73
16,31,56
22,40,78
17,32,62
19,37,67
17,35,57
29,47,77
23,34,50
18,35,53
23,41,68
25,46,69
14,29,42
16,21,35
28,47,65
16,37,64
18,35,52
16,28,38
17,25,41
22,35,67
17,26,45
20,35,58
19,32,57
16,23,41
20,37,59
28,47,78
16,47,78
22,40,83
17,27,53
16,24,44
22,41,65
24,47,74
16,29,54
18,39,65
17,28,46
23,34,59
16,38,80
17,31,51
25,35,59
19,45,80
16,46,88
23,43,69
38,65,95
17,45,78
27,41,68
30,45,77
16,41,81
17,39,54
22,48,84
19,26,41
16,33,66
27,46,95
22,46,67
23,47,80
18,38,68
31,41,49
17,40,64
20,41,74
23,35,62
19,47,81
22,38,63
28,41,61
17,35,60
20,33,51
18,36,71
24,50,82
16,24,42
22,39,61
13,49,79
26,49,79
17,26,43
26,40,83
18,40,75
18,45,76
17,25,44
17,37,64
18,35,55
16,18,32
19,37,54
16,39,71
19,46,95
25,36,64
27,49,89
16,49,87
17,31,60
16,18,22
22,39,58
