Iteration = 1000 | Total steps: 16-21-34 | Min: 0.10 | Avg: 0.83 | Max: 2.53 [CHECK POINT]
Iteration = 2000 | Total steps: 17-21-30 | Min: 0.21 | Avg: 1.15 | Max: 2.58 [CHECK POINT]
Iteration = 3000 | Total steps: 17-27-40 | Min: 0.29 | Avg: 1.33 | Max: 3.21 [CHECK POINT]
Iteration = 4000 | Total steps: 16-20-29 | Min: 0.10 | Avg: 0.91 | Max: 2.51
Iteration = 5000 | Total steps: 3-23-51 | Min: 0.45 | Avg: 1.49 | Max: 3.66 [CHECK POINT]
Iteration = 6000 | Total steps: 16-24-31 | Min: 0.10 | Avg: 0.94 | Max: 2.17
Iteration = 7000 | Total steps: 17-25-37 | Min: 0.15 | Avg: 1.34 | Max: 2.84
Iteration = 8000 | Total steps: 20-26-42 | Min: 0.54 | Avg: 1.40 | Max: 2.89
Iteration = 9000 | Total steps: 17-23-31 | Min: 0.20 | Avg: 0.86 | Max: 1.80
Iteration = 10000 | Total steps: 16-22-32 | Min: 0.10 | Avg: 0.85 | Max: 1.84
Iteration = 11000 | Total steps: 21-30-50 | Min: 0.73 | Avg: 1.80 | Max: 5.05 [CHECK POINT]
Iteration = 12000 | Total steps: 18-24-33 | Min: 0.21 | Avg: 1.44 | Max: 3.07
Iteration = 13000 | Total steps: 16-23-35 | Min: 0.10 | Avg: 0.97 | Max: 2.13
Iteration = 14000 | Total steps: 19-28-36 | Min: 0.21 | Avg: 1.20 | Max: 2.72
Iteration = 15000 | Total steps: 8-20-26 | Min: 0.14 | Avg: 0.76 | Max: 2.00
Iteration = 16000 | Total steps: 17-19-22 | Min: 0.21 | Avg: 0.60 | Max: 1.88
Iteration = 17000 | Total steps: 18-28-53 | Min: 0.17 | Avg: 2.04 | Max: 9.21 [CHECK POINT]
Iteration = 18000 | Total steps: 22-33-54 | Min: 0.89 | Avg: 2.30 | Max: 5.04 [CHECK POINT]
Iteration = 19000 | Total steps: 17-22-28 | Min: 0.15 | Avg: 2.42 | Max: 15.50 [CHECK POINT]
Iteration = 20000 | Total steps: 16-24-35 | Min: 0.10 | Avg: 0.87 | Max: 2.65
Iteration = 21000 | Total steps: 18-21-32 | Min: 0.20 | Avg: 0.96 | Max: 1.88
Iteration = 22000 | Total steps: 16-23-32 | Min: 0.10 | Avg: 0.94 | Max: 1.90
Iteration = 23000 | Total steps: 16-25-33 | Min: 0.10 | Avg: 1.45 | Max: 3.47
Iteration = 24000 | Total steps: 13-23-50 | Min: 0.10 | Avg: 1.14 | Max: 5.02
Iteration = 25000 | Total steps: 18-23-36 | Min: 0.24 | Avg: 1.16 | Max: 3.01
Iteration = 26000 | Total steps: 12-21-27 | Min: 0.22 | Avg: 0.50 | Max: 1.03
Iteration = 27000 | Total steps: 19-28-49 | Min: 0.25 | Avg: 2.03 | Max: 4.83
Iteration = 28000 | Total steps: 17-24-38 | Min: 0.15 | Avg: 1.23 | Max: 2.26
Iteration = 29000 | Total steps: 16-27-39 | Min: 0.27 | Avg: 1.81 | Max: 2.98
Iteration = 30000 | Total steps: 21-34-53 | Min: 0.23 | Avg: 2.65 | Max: 5.43 [CHECK POINT]
Iteration = 31000 | Total steps: 17-24-38 | Min: 0.22 | Avg: 1.69 | Max: 3.88
Iteration = 32000 | Total steps: 18-23-35 | Min: 0.24 | Avg: 1.17 | Max: 2.06
Iteration = 33000 | Total steps: 25-36-50 | Min: 0.30 | Avg: 2.57 | Max: 5.05
Iteration = 34000 | Total steps: 10-26-39 | Min: 0.49 | Avg: 1.55 | Max: 3.27
Iteration = 35000 | Total steps: 10-20-25 | Min: 0.18 | Avg: 0.43 | Max: 1.12
Iteration = 36000 | Total steps: 16-22-31 | Min: 0.10 | Avg: 0.82 | Max: 2.39
