Iteration = 1000 | Total steps: 16-19-25 | Min: 0.10 | Avg: 0.31 | Max: 0.89 [CHECK POINT]
Iteration = 2000 | Total steps: 16-19-26 | Min: 0.10 | Avg: 0.46 | Max: 1.19 [CHECK POINT]
Iteration = 3000 | Total steps: 16-25-46 | Min: 0.10 | Avg: 1.57 | Max: 8.82 [CHECK POINT]
Iteration = 4000 | Total steps: 16-20-28 | Min: 0.10 | Avg: 0.49 | Max: 1.40
Iteration = 5000 | Total steps: 10-21-36 | Min: 0.10 | Avg: 0.63 | Max: 2.15
Iteration = 6000 | Total steps: 5-17-28 | Min: 0.10 | Avg: 0.54 | Max: 1.75
Iteration = 7000 | Total steps: 16-21-30 | Min: 0.10 | Avg: 0.67 | Max: 1.85
Iteration = 8000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 9000 | Total steps: 16-16-21 | Min: 0.10 | Avg: 0.16 | Max: 0.64
Iteration = 10000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.20 | Max: 0.68
Iteration = 11000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 12000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 13000 | Total steps: 16-18-20 | Min: 0.10 | Avg: 0.25 | Max: 0.48
Iteration = 14000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 15000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.22 | Max: 0.85
Iteration = 16000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 17000 | Total steps: 16-20-30 | Min: 0.10 | Avg: 0.48 | Max: 1.51
Iteration = 18000 | Total steps: 18-21-28 | Min: 0.31 | Avg: 0.91 | Max: 1.74
Iteration = 19000 | Total steps: 16-20-25 | Min: 0.10 | Avg: 0.37 | Max: 0.73
Iteration = 20000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.19 | Max: 0.88
Iteration = 21000 | Total steps: 16-18-25 | Min: 0.10 | Avg: 0.36 | Max: 0.97
Iteration = 22000 | Total steps: 16-17-24 | Min: 0.10 | Avg: 0.12 | Max: 0.22
Iteration = 23000 | Total steps: 16-19-24 | Min: 0.10 | Avg: 0.48 | Max: 2.11
Iteration = 24000 | Total steps: 4-16-29 | Min: 0.13 | Avg: 0.55 | Max: 1.46
Iteration = 25000 | Total steps: 16-17-21 | Min: 0.10 | Avg: 0.32 | Max: 1.36
Iteration = 26000 | Total steps: 8-15-20 | Min: 0.10 | Avg: 0.51 | Max: 1.87
Iteration = 27000 | Total steps: 16-21-27 | Min: 0.10 | Avg: 0.64 | Max: 1.51
Iteration = 28000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 29000 | Total steps: 16-18-27 | Min: 0.10 | Avg: 0.16 | Max: 0.36
Iteration = 30000 | Total steps: 5-17-27 | Min: 0.30 | Avg: 0.80 | Max: 1.56
Iteration = 31000 | Total steps: 5-13-23 | Min: 0.19 | Avg: 0.53 | Max: 1.17
Iteration = 32000 | Total steps: 16-17-23 | Min: 0.10 | Avg: 0.22 | Max: 1.16
Iteration = 33000 | Total steps: 17-18-22 | Min: 0.15 | Avg: 0.26 | Max: 0.61
Iteration = 34000 | Total steps: 2-16-20 | Min: 0.10 | Avg: 0.60 | Max: 1.60
Iteration = 35000 | Total steps: 18-22-26 | Min: 0.17 | Avg: 0.69 | Max: 1.39
Iteration = 36000 | Total steps: 5-20-29 | Min: 0.10 | Avg: 1.12 | Max: 2.11
Iteration = 37000 | Total steps: 16-17-18 | Min: 0.10 | Avg: 0.42 | Max: 1.60
Iteration = 38000 | Total steps: 16-17-21 | Min: 0.10 | Avg: 0.25 | Max: 0.48
Iteration = 39000 | Total steps: 4-14-22 | Min: 0.40 | Avg: 0.90 | Max: 1.49
Iteration = 40000 | Total steps: 3-15-28 | Min: 0.21 | Avg: 1.05 | Max: 2.26
Iteration = 41000 | Total steps: 17-19-22 | Min: 0.15 | Avg: 0.50 | Max: 1.20
Iteration = 42000 | Total steps: 5-16-32 | Min: 0.39 | Avg: 0.93 | Max: 1.95
Iteration = 43000 | Total steps: 3-12-24 | Min: 0.11 | Avg: 0.84 | Max: 1.98
Iteration = 44000 | Total steps: 16-16-17 | Min: 0.10 | Avg: 0.16 | Max: 0.60
Iteration = 45000 | Total steps: 5-11-26 | Min: 0.19 | Avg: 0.66 | Max: 1.53
Iteration = 46000 | Total steps: 7-18-31 | Min: 0.22 | Avg: 0.84 | Max: 1.59
Iteration = 47000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
