min,avg,max
16,16,21
16,19,25
16,19,26
16,25,46
16,20,28
10,21,36
5,17,28
16,21,30
16,16,16
16,16,21
16,16,20
16,16,16
16,16,16
16,18,20
16,16,16
16,16,20
16,16,16
16,20,30
18,21,28
16,20,25
16,16,20
16,18,25
16,17,24
16,19,24
4,16,29
16,17,21
8,15,20
16,21,27
16,16,16
16,18,27
5,17,27
5,13,23
16,17,23
17,18,22
2,16,20
18,22,26
5,20,29
16,17,18
16,17,21
4,14,22
3,15,28
17,19,22
5,16,32
3,12,24
16,16,17
5,11,26
7,18,31
16,16,16
9,21,33
16,25,42
16,21,25
20,22,24
16,20,25
16,21,35
16,22,30
16,22,32
16,17,19
16,19,26
16,16,17
16,17,21
16,22,28
14,25,36
16,25,40
6,20,28
12,22,36
17,28,40
18,24,33
16,20,29
10,24,46
17,25,40
14,19,30
16,16,22
11,23,30
16,18,21
4,16,27
16,18,21
16,16,20
16,22,29
21,23,28
17,22,36
7,24,32
15,22,32
15,26,51
21,25,30
11,21,31
17,25,35
16,17,18
12,28,39
17,28,37
16,24,37
16,25,36
11,24,40
17,25,48
13,26,38
13,18,29
16,28,43
16,20,30
17,23,32
16,29,44
13,22,33
13,21,27
16,23,29
16,27,47
19,26,41
20,25,32
16,32,45
15,26,39
16,29,43
16,25,42
16,20,31
16,20,25
16,21,26
8,29,44
16,20,28
18,29,39
18,23,32
16,25,34
16,23,32
16,18,26
16,27,39
16,23,34
18,28,42
23,30,40
16,16,16
16,16,21
16,16,16
16,16,18
16,16,16
16,18,19
16,16,16
16,16,16
14,20,31
16,21,28
16,17,21
3,18,25
16,16,16
3,18,27
12,17,29
17,23,27
16,17,24
22,28,32
20,21,26
16,16,16
16,21,30
16,18,32
20,26,34
16,16,20
16,17,24
19,22,28
21,25,32
16,21,34
16,19,26
10,24,38
22,28,38
9,21,27
16,29,38
16,26,39
23,30,38
17,28,41
20,28,39
22,30,37
23,29,37
15,27,45
20,25,37
19,27,37
21,29,37
16,22,30
17,25,35
16,17,21
17,33,42
16,25,50
22,30,42
16,22,29
20,27,36
22,26,33
21,27,35
16,21,44
5,16,26
16,19,26
16,17,28
16,20,28
16,20,27
16,21,28
16,16,20
16,18,36
7,23,31
16,20,35
16,20,33
21,27,41
16,21,34
16,21,36
9,28,49
16,29,39
16,28,37
13,26,36
7,21,35
22,30,37
22,30,39
16,23,29
21,33,44
16,28,39
21,26,37
16,21,38
16,24,37
16,21,52
16,21,31
16,23,28
10,26,39
16,17,20
16,22,33
21,30,47
16,23,35
17,27,45
17,19,22
16,22,29
16,22,30
19,24,41
17,23,36
16,19,28
16,25,41
16,24,36
17,27,39
17,22,29
18,22,30
16,18,22
16,20,26
11,22,36
16,18,24
13,25,32
16,23,31
16,19,27
16,21,50
19,21,26
14,21,30
10,21,36
16,21,27
16,19,31
16,20,31
16,22,37
16,21,38
16,20,30
16,19,24
7,20,40
11,20,26
16,29,44
2,17,34
16,17,21
17,21,26
16,19,30
16,16,20
16,20,25
19,23,29
16,17,26
8,21,48
17,21,34
16,23,35
16,23,32
3,16,21
16,19,23
17,22,36
17,22,28
15,22,26
19,25,34
18,21,35
16,25,41
16,22,31
16,17,26
16,20,28
20,26,36
15,23,34
3,16,28
16,20,37
15,24,32
16,23,38
9,23,35
6,24,45
15,19,28
16,21,38
16,19,27
16,18,28
16,22,30
16,23,31
16,22,35
16,19,27
16,21,36
16,17,22
17,22,32
16,23,34
16,20,30
16,18,25
16,18,30
16,18,23
16,21,31
16,20,29
16,19,24
3,21,35
6,18,29
11,23,33
16,23,36
16,17,21
16,20,29
16,18,22
16,19,31
16,21,28
4,19,28
16,17,25
15,20,27
16,21,29
16,17,22
16,17,24
16,23,31
16,20,30
16,20,26
16,20,26
16,17,24
7,18,25
16,18,30
17,23,28
16,22,32
3,20,31
16,20,39
5,20,41
17,20,31
16,20,34
5,22,38
16,23,38
3,20,29
16,19,28
3,21,37
17,28,39
16,20,27
16,19,28
5,20,32
19,25,35
5,21,28
16,21,30
17,24,34
18,21,27
17,23,28
9,20,31
13,22,35
3,23,38
16,28,44
15,27,46
21,30,36
16,22,31
16,22,31
16,24,29
8,21,29
16,18,34
16,23,34
16,23,34
18,22,28
16,21,28
12,20,31
16,24,41
16,24,34
16,23,39
16,20,28
12,22,42
21,27,36
9,20,29
3,18,22
16,24,40
17,21,29
16,20,31
15,23,40
17,21,26
17,25,45
16,23,31
16,21,31
16,24,31
16,22,30
17,25,39
4,19,34
16,22,31
16,23,30
16,19,29
9,21,28
17,25,50
16,34,54
16,23,40
5,22,37
5,18,27
6,17,27
9,22,47
18,25,40
3,21,35
16,21,32
16,24,41
17,22,27
6,17,24
17,21,28
6,20,36
17,26,35
18,25,30
16,22,40
16,24,40
16,22,30
