min,avg,max
2,3,4
8,15,21
6,19,36
16,19,25
16,17,21
16,21,34
16,17,23
16,18,28
4,17,26
17,22,30
18,20,33
17,20,24
16,16,18
14,21,31
3,17,29
20,23,30
8,25,35
18,21,29
16,16,20
17,19,21
8,20,30
17,21,28
16,19,24
8,19,25
7,22,33
3,20,32
18,24,42
16,25,33
16,22,36
18,23,30
16,24,30
16,23,31
19,24,31
3,18,29
17,21,27
17,29,43
13,24,39
19,29,41
16,24,33
18,34,49
4,26,34
16,26,44
9,31,52
5,23,55
16,24,33
16,31,44
16,38,58
23,39,53
22,37,64
22,32,44
16,34,53
16,32,57
18,35,55
16,26,42
22,30,42
16,27,47
16,24,41
16,25,46
19,31,50
24,35,43
16,31,50
16,28,40
13,31,51
16,22,46
16,28,53
16,26,38
20,33,43
23,39,63
16,19,31
23,37,49
16,23,38
19,38,71
16,31,46
16,28,42
16,31,42
18,32,48
16,31,56
16,31,59
20,29,44
16,32,66
16,34,56
16,25,59
25,35,57
16,31,53
16,19,29
16,23,40
19,34,44
16,31,62
16,30,60
16,26,38
16,30,45
18,31,55
16,24,44
16,27,52
16,30,49
24,34,64
16,31,59
16,27,66
16,30,42
16,38,69
16,36,51
29,45,55
8,17,43
16,41,61
27,38,50
16,36,84
16,37,65
20,33,43
19,38,55
16,32,48
19,33,62
17,33,41
20,31,56
16,45,75
19,32,49
22,41,64
16,23,43
20,36,76
16,26,70
16,31,60
16,28,67
16,35,81
25,42,51
18,26,39
16,18,22
16,23,41
16,32,47
16,27,49
22,35,55
16,35,75
16,29,51
16,28,54
16,28,48
16,30,46
16,25,41
21,33,60
21,41,79
16,21,41
19,32,48
16,43,64
16,25,42
14,26,42
20,37,67
16,27,57
16,33,53
16,35,49
16,33,59
16,33,80
16,35,56
16,41,60
11,34,59
16,30,43
16,33,57
23,38,70
17,33,60
16,25,63
16,28,50
20,48,81
17,28,46
16,31,58
16,36,51
16,19,28
26,43,64
19,35,54
16,30,57
16,37,73
16,35,55
16,35,68
23,42,83
18,43,64
16,27,37
16,35,66
16,28,35
17,33,59
20,40,74
16,32,54
17,44,80
16,24,37
22,34,55
16,27,38
16,25,54
16,37,85
16,29,53
16,28,61
16,35,60
16,33,59
17,29,53
16,23,28
19,28,52
16,33,66
16,23,52
16,30,63
16,38,82
16,27,46
16,43,72
27,41,58
16,30,44
16,33,58
7,26,36
16,26,48
16,28,48
24,34,62
16,21,34
16,27,57
23,39,70
16,33,56
16,33,60
21,36,59
16,24,47
16,30,53
16,34,56
16,29,48
16,18,28
20,37,61
16,35,75
16,31,47
16,29,70
16,33,54
16,31,51
17,27,45
16,37,64
16,23,37
24,35,53
16,34,68
16,25,41
16,41,65
16,40,90
16,33,56
16,22,34
16,40,86
17,32,54
16,27,39
16,21,37
16,33,46
16,40,68
19,35,54
16,42,65
17,25,36
20,38,54
21,46,83
16,37,75
16,42,54
18,36,67
16,37,76
16,26,42
16,35,62
16,34,87
16,27,37
15,33,56
16,30,50
16,28,55
16,26,42
16,22,55
32,43,72
16,27,41
20,31,56
20,44,69
16,33,51
16,36,66
18,30,52
16,24,48
16,32,80
16,38,76
16,31,51
16,23,36
16,37,66
16,34,54
16,35,73
16,20,28
16,23,41
16,33,57
16,27,48
16,37,74
16,48,67
16,30,64
16,35,71
16,23,36
22,37,55
16,35,64
16,27,47
28,42,58
16,30,45
16,31,57
16,36,74
16,30,62
16,45,80
16,26,43
38,56,95
16,33,57
10,35,61
16,27,46
16,28,55
16,33,102
16,29,46
18,37,61
16,39,99
16,37,55
16,43,78
16,30,47
29,42,76
17,34,66
16,24,40
16,46,69
27,41,56
19,36,89
16,39,73
16,39,82
26,43,59
16,34,63
16,25,58
24,37,76
16,26,40
20,37,68
16,45,73
16,29,69
16,28,45
29,49,79
16,26,47
16,34,55
16,29,56
17,43,79
16,25,61
16,29,58
16,48,84
19,36,73
16,39,53
23,47,92
16,24,40
23,37,53
19,40,59
17,44,68
16,29,48
21,39,66
16,32,82
19,35,59
16,28,53
16,41,96
16,28,42
18,36,75
16,39,61
16,37,57
18,36,59
19,45,75
16,32,68
20,39,66
16,31,59
16,35,66
20,30,59
16,32,55
16,32,56
16,31,58
16,25,40
16,23,44
16,36,67
16,43,72
16,27,49
27,55,96
16,34,56
16,24,51
19,25,32
16,33,70
20,33,53
22,39,65
21,34,48
16,31,68
16,27,64
16,27,48
16,27,50
16,37,62
16,34,83
16,16,19
2,22,48
16,21,34
16,20,39
16,28,52
16,17,31
16,28,43
16,31,46
16,25,34
19,26,43
16,29,47
16,28,48
16,19,25
20,36,50
21,36,54
20,30,47
16,29,43
16,25,35
16,32,51
24,44,74
16,31,57
16,29,44
16,28,58
21,36,57
16,31,49
16,37,54
22,39,69
26,42,64
22,37,68
26,44,65
23,38,90
17,32,47
20,32,59
16,33,55
16,28,46
24,41,67
16,20,36
19,38,55
17,25,29
16,36,63
16,26,41
16,33,58
16,29,47
19,37,56
16,22,33
23,38,52
30,46,85
16,33,48
16,25,38
16,31,53
19,38,59
16,26,43
16,37,69
16,24,50
16,27,48
22,33,52
16,23,33
16,30,43
16,29,75
20,38,75
